dataset_name,nmi,ari,acc,Combination
Sud,0.5292,0.35706,0.45466,fcnn-reconstruction-DEC
full,0.28174,0.17724,0.71067,fcnn-reconstruction-DEC
Meadow,0.1286,0.17005,0.70621,fcnn-reconstruction-DEPICT
Orchards,0.43008,0.53376,0.8653,fcnn-reconstruction-DEPICT
Sud,0.54724,0.47677,0.48434,fcnn-reconstruction-DEPICT
full,0.04973,0.06861,0.631,fcnn-reconstruction-DEPICT
Meadow,0.0,0.0,0.5318,fcnn-reconstruction-DTCR
Orchards,0.0025,0.00251,0.52524,fcnn-reconstruction-DTCR
Sud,0.26224,0.17446,0.29284,fcnn-reconstruction-DTCR
full,0.01258,0.00896,0.54873,fcnn-reconstruction-DTCR
Meadow,0.01846,0.02299,0.57594,fcnn-reconstruction-GAN
Orchards,0.45172,0.54454,0.86897,fcnn-reconstruction-GAN
Sud,0.53643,0.45896,0.49752,fcnn-reconstruction-GAN
full,0.02032,0.02121,0.57301,fcnn-reconstruction-GAN
Meadow,0.13988,0.18713,0.71631,fcnn-reconstruction-IDEC
Orchards,0.41627,0.50721,0.8561,fcnn-reconstruction-IDEC
Sud,0.56114,0.43593,0.50897,fcnn-reconstruction-IDEC
full,0.25244,0.14295,0.68927,fcnn-reconstruction-IDEC
Meadow,0.1517,0.20004,0.72365,fcnn-reconstruction-None
Orchards,0.47677,0.56439,0.87563,fcnn-reconstruction-None
Sud,0.56276,0.49073,0.54382,fcnn-reconstruction-None
full,0.28888,0.19266,0.71962,fcnn-reconstruction-None
Meadow,0.10407,0.09532,0.65481,fcnn-tripletK10-DEC
Orchards,0.00615,0.00211,0.52307,fcnn-tripletK10-DEC
Sud,0.3602,0.34557,0.50309,fcnn-tripletK10-DEC
full,0.0013,9,00E-05,0.5159,fcnn-tripletK10-DEC
Meadow,0.11027,0.0484,0.61173,fcnn-tripletK10-DEPICT
Orchards,0.04544,0.06196,0.6245,fcnn-tripletK10-DEPICT
Sud,0.43068,0.25875,0.40075,fcnn-tripletK10-DEPICT
full,0.02185,0.02798,0.58369,fcnn-tripletK10-DEPICT
Meadow,0.07366,0.08708,0.64769,fcnn-tripletK10-DTCR
Orchards,0.18068,0.23823,0.74406,fcnn-tripletK10-DTCR
Sud,0.33329,0.24968,0.34826,fcnn-tripletK10-DTCR
full,0.02171,0.03047,0.58731,fcnn-tripletK10-DTCR
Meadow,0.0,0.0,0.5318,fcnn-tripletK10-IDEC
Orchards,0.01086,0.00555,0.53735,fcnn-tripletK10-IDEC
Sud,0.33304,0.17096,0.3435,fcnn-tripletK10-IDEC
full,0.00464,0.00588,0.53844,fcnn-tripletK10-IDEC
Meadow,0.08142,0.0934,0.65298,fcnn-tripletK10-None
Orchards,0.01697,0.02317,0.57619,fcnn-tripletK10-None
Sud,0.48084,0.29694,0.37055,fcnn-tripletK10-None
full,0.01069,0.01392,0.55905,fcnn-tripletK10-None
Meadow,4,00E-05,6,00E-05,0.50548,fcnn-tripletK1-DEC
Orchards,0.3626,0.45614,0.8377,fcnn-tripletK1-DEC
Sud,0.48213,0.47103,0.48576,fcnn-tripletK1-DEC
full,0.04456,0.05172,0.61379,fcnn-tripletK1-DEC
Meadow,0.00109,0.00304,0.5321,fcnn-tripletK1-DEPICT
Orchards,0.38527,0.47394,0.84423,fcnn-tripletK1-DEPICT
Sud,0.43079,0.50033,0.61668,fcnn-tripletK1-DEPICT
full,0.0129,0.01194,0.55556,fcnn-tripletK1-DEPICT
Meadow,0.03383,0.01004,0.55411,fcnn-tripletK1-DTCR
Orchards,0.00131,0.00166,0.52062,fcnn-tripletK1-DTCR
Sud,0.46471,0.37614,0.48161,fcnn-tripletK1-DTCR
full,0.0006,0.00114,0.51735,fcnn-tripletK1-DTCR
Meadow,0.03731,0.01312,0.56059,fcnn-tripletK1-IDEC
Orchards,0.33002,0.42097,0.82442,fcnn-tripletK1-IDEC
Sud,0.0,0.0,0.44341,fcnn-tripletK1-IDEC
full,0.02288,0.00697,0.54391,fcnn-tripletK1-IDEC
Meadow,0.00049,-0.00048,0.50134,fcnn-tripletK1-None
Orchards,0.28975,0.37224,0.80507,fcnn-tripletK1-None
Sud,0.50757,0.44755,0.48323,fcnn-tripletK1-None
full,0.05068,0.0598,0.62234,fcnn-tripletK1-None
Meadow,0.20032,0.26329,0.75662,fcnn-tripletK2-DEC
Orchards,0.46381,0.44761,0.83453,fcnn-tripletK2-DEC
Sud,0.50483,0.48822,0.58375,fcnn-tripletK2-DEC
full,0.10779,0.13097,0.68099,fcnn-tripletK2-DEC
Meadow,0.08573,0.02259,0.58034,fcnn-tripletK2-DEPICT
Orchards,0.17878,0.23278,0.74125,fcnn-tripletK2-DEPICT
Sud,0.44473,0.33956,0.49944,fcnn-tripletK2-DEPICT
full,0.08437,0.11522,0.66974,fcnn-tripletK2-DEPICT
Meadow,0.0175,0.02161,0.57364,fcnn-tripletK2-DTCR
Orchards,0.18032,0.2385,0.7442,fcnn-tripletK2-DTCR
Sud,0.29744,0.19466,0.34664,fcnn-tripletK2-DTCR
full,0.00151,0.0018,0.52137,fcnn-tripletK2-DTCR
Meadow,0.19878,0.10742,0.66534,fcnn-tripletK2-IDEC
Orchards,0.0,0.0,0.501,fcnn-tripletK2-IDEC
Sud,0.2545,0.14394,0.45344,fcnn-tripletK2-IDEC
full,0.0,0.0,0.51517,fcnn-tripletK2-IDEC
Meadow,0.22527,0.28372,0.76643,fcnn-tripletK2-None
Orchards,0.41147,0.46117,0.83956,fcnn-tripletK2-None
Sud,0.46413,0.26588,0.38292,fcnn-tripletK2-None
full,0.09099,0.12391,0.67602,fcnn-tripletK2-None
Meadow,0.12115,0.11074,0.66679,fcnn-tripletK5-DEC
Orchards,0.05386,0.0596,0.6221,fcnn-tripletK5-DEC
Sud,0.26313,0.2845,0.57584,fcnn-tripletK5-DEC
full,0.04897,0.04146,0.60206,fcnn-tripletK5-DEC
Meadow,0.13901,0.12739,0.67882,fcnn-tripletK5-DEPICT
Orchards,0.09353,0.11905,0.67254,fcnn-tripletK5-DEPICT
Sud,0.39752,0.53892,0.57311,fcnn-tripletK5-DEPICT
full,0.00049,0.001,0.51654,fcnn-tripletK5-DEPICT
Meadow,0.00498,0.00676,0.54122,fcnn-tripletK5-DTCR
